epoch,train_loss,eval_loss,eval_eer,eval_threshold,is_best,best_eer_so_far
0,0.313847,0.366973,0.044640,0.926194,1,0.044640
1,0.135917,0.088513,0.017605,0.148831,1,0.017605
2,0.088002,0.034035,0.010060,0.318643,1,0.010060
3,0.076889,0.087739,0.005030,0.918315,1,0.005030
4,0.052892,0.070336,0.003772,0.975876,1,0.003772
5,0.040899,0.028285,0.003772,0.111187,0,0.003772
6,0.029283,0.025879,0.004401,0.856370,0,0.003772
7,0.022976,0.016450,0.003772,0.852599,0,0.003772
8,0.028449,0.017618,0.004401,0.865211,0,0.003772
9,0.015102,0.005559,0.001257,0.743132,1,0.001257
