threshold,fpr,tpr
1.0,0.0,0.0
0.9994705319404602,0.0,0.0020000000949949026
0.9994704127311707,0.004000000189989805,0.004000000189989805
0.9994702935218811,0.006000000052154064,0.009999999776482582
0.9994701743125916,0.014000000432133675,0.026000000536441803
0.999470055103302,0.03200000151991844,0.041999999433755875
0.9994699358940125,0.04800000041723251,0.08399999886751175
0.9994698166847229,0.07400000095367432,0.11400000005960464
0.9994696974754333,0.11999999731779099,0.14399999380111694
0.9994695782661438,0.18400000035762787,0.19200000166893005
0.9994694590568542,0.27000001072883606,0.24199999868869781
0.9994693398475647,0.3580000102519989,0.2840000092983246
0.9994692206382751,0.4560000002384186,0.34599998593330383
0.9994691014289856,0.5220000147819519,0.4099999964237213
0.999468982219696,0.6000000238418579,0.46399998664855957
0.9994688630104065,0.6679999828338623,0.5059999823570251
0.9994687438011169,0.7400000095367432,0.5799999833106995
0.9994686245918274,0.7900000214576721,0.6299999952316284
0.9994685053825378,0.8199999928474426,0.6940000057220459
0.9994683861732483,0.8320000171661377,0.734000027179718
0.9994682669639587,0.8539999723434448,0.7879999876022339
0.9994681477546692,0.8799999952316284,0.8360000252723694
0.9994680285453796,0.9020000100135803,0.8859999775886536
0.9994679093360901,0.9079999923706055,0.9120000004768372
0.9994677901268005,0.9139999747276306,0.9259999990463257
0.999467670917511,0.9240000247955322,0.9380000233650208
0.9994675517082214,0.9380000233650208,0.949999988079071
0.9994674324989319,0.9459999799728394,0.9580000042915344
0.9994673132896423,0.9480000138282776,0.9639999866485596
0.9994671940803528,0.9539999961853027,0.9639999866485596
0.9994670748710632,0.9599999785423279,0.9660000205039978
0.9994669556617737,0.9639999866485596,0.9679999947547913
0.9994668364524841,0.9700000286102295,0.972000002861023
0.9994667172431946,0.9739999771118164,0.9739999771118164
0.999466598033905,0.9760000109672546,0.9779999852180481
0.9994664788246155,0.9779999852180481,0.9800000190734863
0.9994663596153259,0.9779999852180481,0.9819999933242798
0.9994662404060364,0.9800000190734863,0.9819999933242798
0.9994661211967468,0.9800000190734863,0.9860000014305115
0.9994660019874573,0.9819999933242798,0.9860000014305115
0.9994657635688782,0.9860000014305115,0.9860000014305115
0.9994656443595886,0.9879999756813049,0.9879999756813049
0.9994654059410095,0.9900000095367432,0.9900000095367432
0.99946528673172,0.9919999837875366,0.9919999837875366
0.9994649291038513,0.9919999837875366,0.9940000176429749
0.9994638562202454,0.9940000176429749,0.9959999918937683
0.9994637370109558,0.9940000176429749,0.9980000257492065
0.9994623064994812,0.9959999918937683,0.9980000257492065
0.999460756778717,0.9959999918937683,1.0
0.9994595646858215,0.9980000257492065,1.0
0.9994588494300842,1.0,1.0
